PO Number,PO Date,PO Year,PO Quarter,PO Month,PO Type,PO Status,Supplier ID,Supplier Name,Supplier Country,Supplier Region,Supplier Tier,Supplier Status,Supplier Risk,Supplier Latitude,Supplier Longitude,Payment Terms,Item Code,Item Description,Category,Sub Category,Unit of Measure,Unit Price,Quantity,Discount Pct,Discount Amount,Tax Pct,Tax Amount,Line Total Gross,Line Net,Line Total Inc Tax,Currency,Budget Unit Price,Budget Total,Savings Amount,Savings Pct,Requested Delivery,Actual Delivery,Days Late,On Time Delivery,Lead Time Days,Department,Cost Centre,Requestor Name,Approver Name,Contract ID,Contract Type,Contract Start,Contract End,Invoice Status,Payment Status,Invoice Match Type,Maverick Spend,Single Source Flag,Preferred Supplier,Local International,Supplier ESG Score
PO-00025,26/01/2024,2024,Q1,January,Standard,Open,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-76816,Antivirus License,IT Software,Antivirus License,EA,97.53,28,0,0,5,136.54,2730.84,2730.84,2867.38,JPY,112.4,3147.2,416.36,13.2,24/02/2024,22/02/2024,-2,Yes,27,Sales,CC-010,Jack Harris,Tom Reynolds,NO-CONTRACT,Spot,26/01/2024,25/02/2024,Pending,Pending,No Match,No,No,Yes,International,41.6
PO-00026,26/03/2022,2022,Q1,March,Standard,Cancelled,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-51688,Freight - Road,Logistics,Freight - Road,Shipment,1110.73,88,0,0,5,4887.21,97744.24,97744.24,102631.45,GBP,1343.02,118185.76,20441.52,17.3,23/04/2022,22/05/2022,29,No,57,IT,CC-002,Leo Walker,Tom Reynolds,CON-9548,Spot,15/05/2021,16/02/2024,Pending,Pending,No Match,No,No,No,International,89.1
PO-00027,23/10/2023,2023,Q4,October,Blanket,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-78958,Project Mgmt Tool,IT Software,Project Mgmt Tool,EA,1081.63,63,5,3407.13,20,12947.11,68142.69,64735.56,77682.67,GBP,1255.1,79071.3,14335.74,18.1,29/10/2023,27/10/2023,-2,Yes,4,R&D,CC-008,Henry Martin,Tom Reynolds,CON-5232,Spot,02/06/2023,18/05/2026,Overdue,Pending,3-Way Match,No,No,No,International,50.9
PO-00028,10/05/2023,2023,Q2,May,Blanket,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-37716,Tool Set,Maintenance,Tool Set,EA,370.06,166,0,0,5,3071.5,61429.96,61429.96,64501.46,GBP,289.08,47987.28,-13442.68,-28,29/05/2023,27/05/2023,-2,Yes,17,Finance,CC-001,Karen Clark,Lisa Chen,CON-9698,Spot,05/10/2022,05/05/2025,Paid,Paid,2-Way Match,No,No,No,International,44.8
PO-00029,09/10/2023,2023,Q4,October,Standard,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-64270,Pens & Stationery,Office Supplies,Pens & Stationery,Box,16.49,124,0,0,20,408.95,2044.76,2044.76,2453.71,EUR,20.52,2544.48,499.72,19.6,01/11/2023,27/10/2023,-5,Yes,18,Marketing,CC-004,David Lee,Priya Sharma,NO-CONTRACT,Spot,09/10/2023,08/11/2023,Paid,Paid,3-Way Match,No,No,No,International,63.2
PO-00030,16/09/2022,2022,Q3,September,Emergency,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-64827,Print Material,Marketing,Print Material,Box,449.09,147,0,0,5,3300.81,66016.23,66016.23,69317.04,GBP,339.25,49869.75,-16146.48,-32.4,24/09/2022,21/09/2022,-3,Yes,5,Marketing,CC-004,Nathan Young,Sarah Mitchell,CON-2213,Framework,01/07/2022,29/05/2023,Pending,Overdue,2-Way Match,No,No,No,International,41.5
PO-00031,02/05/2024,2024,Q2,May,Emergency,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-31689,Training Material,HR & Training,Training Material,Box,243.92,98,0,0,5,1195.21,23904.16,23904.16,25099.37,EUR,234.58,22988.84,-915.32,-4,03/06/2024,31/05/2024,-3,Yes,29,Sales,CC-010,Jack Harris,Sarah Mitchell,CON-4404,Master Supply,19/12/2023,23/04/2026,Paid,Pending,3-Way Match,No,No,No,International,41.5
PO-00032,20/08/2024,2024,Q3,August,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-66957,Plastic Resin (kg),Raw Materials,Plastic Resin (kg),KG,3.81,117,0,0,0,0,445.77,445.77,445.77,USD,4.7,549.9,104.13,18.9,04/10/2024,26/10/2024,22,No,67,Marketing,CC-004,David Lee,James O'Brien,NO-CONTRACT,Spot,20/08/2024,19/09/2024,Paid,Paid,3-Way Match,No,No,Yes,International,52.3
PO-00033,22/09/2023,2023,Q3,September,Standard,Disputed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-95695,Employee Uniforms,HR & Training,Employee Uniforms,EA,69.52,120,0,0,20,1668.48,8342.4,8342.4,10010.88,GBP,77.35,9282,939.6,10.1,31/10/2023,29/10/2023,-2,Yes,37,Finance,CC-001,Alice Johnson,James O'Brien,CON-5102,Framework,07/08/2023,24/09/2024,Pending,On Hold,No Match,No,No,No,International,50.9
PO-00034,06/07/2023,2023,Q3,July,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-44814,Office Chair,Office Supplies,Office Chair,EA,369.1,114,10,4207.74,0,0,42077.4,37869.66,37869.66,GBP,340.37,38802.18,932.52,2.4,01/09/2023,30/08/2023,-2,Yes,55,Legal,CC-007,Grace Taylor,Priya Sharma,NO-CONTRACT,Spot,06/07/2023,05/08/2023,Paid,Paid,2-Way Match,No,No,No,International,41.5
PO-00035,31/03/2024,2024,Q1,March,Blanket,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-43740,Keyboard,IT Hardware,Keyboard,EA,25.28,65,0,0,5,82.16,1643.2,1643.2,1725.36,USD,30.81,2002.65,359.45,17.9,05/04/2024,05/04/2024,0,Yes,5,Legal,CC-007,Grace Taylor,Sarah Mitchell,NO-CONTRACT,Spot,31/03/2024,30/04/2024,Pending,Pending,3-Way Match,No,No,No,International,63.2
PO-00036,26/09/2022,2022,Q3,September,Contract,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-64827,Print Material,Marketing,Print Material,Box,111.55,162,0,0,0,0,18071.1,18071.1,18071.1,GBP,86.54,14019.48,-4051.62,-28.9,01/10/2022,30/09/2022,-1,Yes,4,Marketing,CC-004,Nathan Young,Sarah Mitchell,CON-2924,Master Supply,14/01/2022,15/07/2024,Pending,Paid,3-Way Match,Yes,No,No,International,44.8
PO-00037,24/10/2022,2022,Q4,October,Standard,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-78252,Catering (event),HR & Training,Catering (event),EA,2365.73,35,5,4140.03,5,3933.03,82800.55,78660.52,82593.55,USD,2833.47,99171.45,20510.93,20.7,19/11/2022,28/11/2022,9,No,35,HR,CC-005,Emma Wilson,Priya Sharma,CON-9022,Master Supply,10/03/2022,10/03/2024,Paid,Pending,2-Way Match,No,No,No,International,75.7
PO-00038,05/05/2023,2023,Q2,May,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-41218,Consulting (day),Professional Svcs,Consulting (day),Day,749.99,122,0,0,5,4574.94,91498.78,91498.78,96073.72,EUR,831.59,101453.98,9955.2,9.8,01/07/2023,01/07/2023,0,Yes,57,Finance,CC-001,Alice Johnson,Tom Reynolds,CON-6439,Framework,22/09/2022,01/07/2023,Paid,Pending,2-Way Match,No,No,Yes,International,52.3
PO-00039,13/11/2022,2022,Q4,November,Standard,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-66957,Plastic Resin (kg),Raw Materials,Plastic Resin (kg),KG,3.49,102,0,0,5,17.8,355.98,355.98,373.78,USD,2.9,295.8,-60.18,-20.3,12/12/2022,02/01/2023,21,No,50,Operations,CC-003,Maya Hall,James O'Brien,CON-1588,Framework,16/07/2022,19/10/2024,Pending,Pending,2-Way Match,No,Yes,No,International,41.5
PO-00040,25/07/2022,2022,Q3,July,Standard,Cancelled,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-24464,Steel Sheet (kg),Raw Materials,Steel Sheet (kg),KG,2.28,15,0,0,5,1.71,34.2,34.2,35.91,GBP,2.55,38.25,4.05,10.6,25/08/2022,16/09/2022,22,No,53,Operations,CC-003,Clara Davies,Tom Reynolds,NO-CONTRACT,Spot,25/07/2022,24/08/2022,Disputed,Pending,No Match,No,No,No,Local,67.8
PO-00041,02/08/2024,2024,Q3,August,Emergency,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-24464,Steel Sheet (kg),Raw Materials,Steel Sheet (kg),KG,7.39,120,10,88.68,20,159.62,886.8,798.12,957.74,GBP,8.47,1016.4,218.28,21.5,29/08/2024,28/08/2024,-1,Yes,26,Legal,CC-007,Grace Taylor,Priya Sharma,CON-5949,Master Supply,19/01/2024,07/12/2026,Paid,Pending,3-Way Match,Yes,No,No,International,44.8
PO-00042,21/03/2024,2024,Q1,March,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-36437,Server Rack,IT Hardware,Server Rack,EA,9706.55,74,5,35914.24,0,0,718284.7,682370.46,682370.46,GBP,7519.21,556421.54,-125948.92,-22.6,05/05/2024,01/05/2024,-4,Yes,41,Operations,CC-003,Maya Hall,Tom Reynolds,CON-1645,Spot,09/08/2023,10/03/2024,Pending,Paid,2-Way Match,No,No,Yes,International,41.6
PO-00043,26/12/2022,2022,Q4,December,Standard,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-62127,Lubricant (L),Maintenance,Lubricant (L),LTR,25.93,70,5,90.75,5,86.22,1815.1,1724.35,1810.57,AUD,31.9,2233,508.65,22.8,20/02/2023,16/03/2023,24,No,80,Operations,CC-003,Maya Hall,Sarah Mitchell,CON-2233,Master Supply,02/09/2022,28/07/2025,Pending,Pending,No Match,No,No,No,International,41.5
PO-00044,04/07/2022,2022,Q3,July,Blanket,Open,SUP-001,Apex Industrial Supplies,United Kingdom,Europe,1,Preferred,Low,55.3781,-3.436,Net 30,ITEM-41311,Rubber Seal,Raw Materials,Rubber Seal,EA,7.47,95,0,0,20,141.93,709.65,709.65,851.58,GBP,8.07,766.65,57,7.4,18/08/2022,22/08/2022,4,No,49,R&D,CC-008,Henry Martin,Sarah Mitchell,CON-6374,Master Supply,07/08/2021,08/04/2022,Pending,Overdue,2-Way Match,No,No,Yes,Local,75.2
PO-00045,03/04/2022,2022,Q2,April,Contract,Cancelled,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-64827,Print Material,Marketing,Print Material,Box,138.88,138,0,0,5,958.27,19165.44,19165.44,20123.71,AUD,153.51,21184.38,2018.94,9.5,22/05/2022,21/05/2022,-1,Yes,48,IT,CC-002,Leo Walker,Tom Reynolds,CON-2622,Long-term,23/05/2021,10/01/2023,Pending,Pending,No Match,No,No,No,International,80.5
PO-00046,29/04/2023,2023,Q2,April,Blanket,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-94075,Courier Service,Logistics,Courier Service,Shipment,73.61,166,0,0,5,610.96,12219.26,12219.26,12830.22,AUD,79.75,13238.5,1019.24,7.7,27/06/2023,30/06/2023,3,No,62,Finance,CC-001,Karen Clark,Lisa Chen,CON-1828,Spot,26/12/2022,30/10/2023,Pending,Pending,No Match,No,No,Yes,International,41.4
PO-00047,23/04/2023,2023,Q2,April,Standard,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-70803,Recruitment Agency,HR & Training,Recruitment Agency,EA,4218.2,38,15,24043.74,20,27249.57,160291.6,136247.86,163497.43,GBP,4545.75,172738.5,36490.64,21.1,09/06/2023,04/06/2023,-5,Yes,42,Operations,CC-003,Maya Hall,Tom Reynolds,CON-1258,Master Supply,09/12/2022,30/07/2023,Paid,Paid,3-Way Match,No,Yes,No,International,55.1
PO-00048,12/01/2024,2024,Q1,January,Standard,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-46380,Photography Svcs,Marketing,Photography Svcs,EA,565.86,158,0,0,20,17881.18,89405.88,89405.88,107287.06,GBP,645.04,101916.32,12510.44,12.3,18/01/2024,03/02/2024,16,No,22,Legal,CC-007,Grace Taylor,Sarah Mitchell,CON-8267,Framework,02/12/2023,24/04/2025,Overdue,Pending,2-Way Match,No,No,Yes,International,41.4
PO-00049,28/10/2023,2023,Q4,October,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-62127,Lubricant (L),Maintenance,Lubricant (L),LTR,23.61,155,0,0,20,731.91,3659.55,3659.55,4391.46,EUR,24.7,3828.5,168.95,4.4,21/12/2023,14/01/2024,24,No,78,Legal,CC-007,Grace Taylor,James O'Brien,CON-7779,Spot,10/03/2023,18/10/2024,Paid,Paid,3-Way Match,No,No,Yes,International,41.6
